Designator,Mid X,Mid Y,Rotation,Layer
C1,142.7,-96.050001,180.0,top
C2,146.5,-96.2,0.0,top
C3,134.3,-87.5,270.0,top
C4,130.3,-92.0,270.0,top
C5,137.8,-88.0,270.0,top
D1,137.2875,-95.7,180.0,top
J1,137.335,-91.52,0.0,top
L1,130.8,-95.9,0.0,top
R1,131.7,-87.9,270.0,top
R2,129.1,-88.1,90.0,top
R3,137.0,-91.245,90.0,top
U1,144.4,-90.250001,90.0,top
U2,134.2,-92.045,90.0,top
