C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
FB1:1
FB2:1
IC1:1
J12:1
J13:1
J14:1
J15:1
J16:1
J2:1
J3:1
J5:1
J6:1
J7:1
KIBUZZARD-6A8859E8:1
KIBUZZARD-6A8859F9:1
KIBUZZARD-6A885A00:1
KIBUZZARD-6A885C51:1
KIBUZZARD-6A885C67:2
KIBUZZARD-6A885C86:2
KIBUZZARD-6A88605B:1
KIBUZZARD-6A886062:1
KIBUZZARD-6A886067:1
KIBUZZARD-6A88606D:1
KIBUZZARD-6A886074:1
KIBUZZARD-6A8860CE:1
KIBUZZARD-6A88645C:1
KIBUZZARD-6A886473:1
KIBUZZARD-6A886487:1
KIBUZZARD-6A886536:1
KIBUZZARD-6A886715:1
KIBUZZARD-6A8868AC:1
KIBUZZARD-6A8868D3:1
KIBUZZARD-6A886B6D:1
KIBUZZARD-6A886D1F:1
KIBUZZARD-6A886D93:1
KIBUZZARD-6A8871A1:1
KIBUZZARD-6A8871C3:1
KIBUZZARD-6A8871D7:1
KIBUZZARD-6A8871DC:1
KIBUZZARD-6A8871E1:1
P2:1
P3:1
P4:1
P5:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R21:1
R22:1
R23:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:4
S1:1
S2:1
S3:1
S4:1
S5:1
S6:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
U1:1
U10:1
U11:1
U12:1
U2:1
U4:1
U8:1
U9:1
